지역,엽채류 노지 면적,엽채류 노지 생산량,엽채류 시설 면적,엽채류 시설 생산량,고랭지배추 노지 면적,고랭지배추 노지 단수,고랭지배추 노지 생산량,가을배추 노지 면적,가을배추 노지단수,가을배추 노지생산량,겨울배추 노지 면적,겨울배추 노지 단수,겨울배추 노지 생산량,양배추 노지 면적,양배추 노지 단수,양배추 노지 생산량,시금치 노지 면적,시금치 노지 단수,시금치 노지 생산량,시금치 시설 면적,시금치 시설 단수,시금치 시설 생산량,상추 노지 면적,상추 노지 단수,상추 노지 생산량,상추 시설 면적,상추 시설 단수,상추 시설 생산량,미나리 노지 면적,미나리 노지 단수,미나리 노지 생산량,미나리 시설 면적,미나리 시설 단수,미나리 시설 생산량,쑥갓 노지 면적,쑥갓 노지 단수,쑥갓 노지 생산량,쑥갓 시설 면적,쑥갓 시설 단수,쑥갓 시설 생산량,부추 노지 면적,부추 노지 단수,부추 노지 생산량,부추 시설 면적,부추 시설 단수,부추 시설 생산량
서 울,112,846,62,912,0,0,0,11,7440,818,0,0,0,0,0,0,0,0,0,3,3000,90,1,2800,28,1,2800,28,0,0,0,0,0,0,0,0,0,56,1280,717,0,0,0,0,0,0
부 산,338,18105,291,9569,0,0,0,99,10360,10256,0,0,0,28,3138,879,55,1435,789,3,2058,62,58,2270,1317,120,2459,2951,51,3541,1806,24,3589,861,1,1515,15,9,1484,134,21,2746,577,16,2974,476
대 구,171,11414,238,8298,0,0,0,81,10728,8689,0,0,0,17,3636,618,6,1627,98,32,2508,803,5,2166,108,29,2381,690,36,2782,1002,38,3634,1381,0,0,0,2,2420,48,21,3298,693,73,3841,2804
인 천,228,19682,180,5544,0,0,0,199,9576,19055,0,0,0,1,5130,51,10,1818,182,48,2462,1182,12,1729,207,87,3073,2674,2,3000,60,0,0,0,0,0,0,15,2443,366,0,0,0,8,2537,203
광 주,191,18357,146,5486,0,0,0,125,13357,16696,0,0,0,0,0,0,15,1027,154,12,1854,222,15,1692,254,0,0,0,19,3181,604,20,4115,823,0,0,0,6,2140,128,3,2541,76,16,3012,482
대 전,89,8693,18,461,0,0,0,79,10743,8487,0,0,0,0,0,0,2,1544,31,0,0,0,2,2064,41,15,2640,396,0,0,0,0,0,0,0,0,0,0,0,0,5,2059,103,3,2151,65
울 산,330,22685,194,6248,0,0,0,175,10453,18292,0,0,0,0,0,0,32,1239,396,7,1512,106,13,1907,248,4,2421,97,63,3722,2345,17,3713,631,0,0,0,15,2100,315,43,3037,1306,138,3280,4526
경 기,2505,220367,4440,125250,0,0,0,1831,10830,198297,0,0,0,93,5130,4771,97,1566,1519,1274,1995,25416,76,1970,1497,1112,2665,29635,138,2601,3589,43,2390,1028,13,1771,230,278,2171,6035,60,3182,1909,659,3289,21905
강 원,7713,365880,192,5445,5099,3641,185655,1186,9789,116102,0,0,0,749,5037,37727,33,1506,497,26,1670,434,57,2048,1167,104,2741,2851,10,2413,241,2,2324,46,2,2013,40,5,2062,103,15,2238,336,18,3324,549
충 북,2757,205887,263,7767,0,0,0,1950,8811,171820,0,0,0,227,4199,9532,35,1568,549,95,1414,1343,3,2295,69,84,3849,3233,6,3958,237,2,2440,49,0,0,0,24,2227,534,11,3594,395,16,3048,352
충 남,2398,200402,1052,39116,0,0,0,1763,9861,173849,0,0,0,281,4810,13516,75,1598,1199,166,1985,3295,58,2589,1502,456,2407,10976,4,1472,59,2,2790,56,2,1031,21,3,1606,48,17,2088,355,33,2200,1092
전 북,2579,209753,684,23557,195,4235,8258,1420,10767,152890,0,0,0,244,5502,13425,63,1481,933,51,2456,1253,24,2447,587,502,3166,15893,235,3776,8874,23,3008,692,14,1824,255,0,2108,0,10,3478,348,16,3310,562
전 남,10315,743502,627,24352,0,0,0,3564,10547,375894,3824,6890,263474,983,5598,55028,1028,1198,12315,133,1414,1881,43,2946,1267,55,3432,1888,271,2764,7490,48,2945,1414,2,1728,35,38,1459,554,19,2786,529,89,3510,3636
경 북,4618,275239,1741,57522,130,3916,5091,1598,9900,158204,0,0,0,637,4391,27971,274,1051,2880,395,1692,6683,136,2616,3558,303,2707,8202,19,2683,510,178,2463,4384,1,1609,16,1,1841,18,111,2656,2948,386,4085,14664
경 남,3900,157274,572,20366,74,2556,1891,994,10526,104633,0,0,0,30,4094,1228,2235,1054,23557,79,2477,1957,98,2042,2001,88,3197,2813,33,2188,722,70,1977,1384,1,1503,15,1,1880,19,98,2958,2899,248,3799,9422
제 주,3336,195066,8,211,0,0,0,20,9095,1819,61,6853,4180,2726,5476,149276,107,1206,1290,0,0,0,18,1553,280,8,2641,211,2,1914,38,0,0,0,0,0,0,0,0,0,10,2176,218,0,0,0
세 종,33,2906,3,53,0,0,0,27,9889,2670,0,0,0,0,0,0,0,0,0,1,1812,18,0,0,0,2,1753,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
